city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Nāgercoil,8.17,77.43,India,IN,Tamil Nādu,,224329,224329
Thiruvananthapuram,8.5,76.8997,India,IN,Kerala,admin,743691,743691
Tinnevelly,8.7289,77.7081,India,IN,Tamil Nādu,,542200,542200
Tuticorin,8.7833,78.1333,India,IN,Tamil Nādu,,436094,436094
Quilon,8.8853,76.5864,India,IN,Kerala,,397419,397419
Pathanāmthitta,9.2647,76.7872,India,IN,Kerala,,37802,37802
Rāmeswaram,9.28,79.3,India,IN,Tamil Nādu,,44856,44856
Rājapālaiyam,9.4204,77.58,India,IN,Tamil Nādu,,369991,369991
Alleppey,9.5004,76.37,India,IN,Kerala,,176783,176783
Madurai,9.9197,78.1194,India,IN,Tamil Nādu,minor,1561129,1561129
Kochi,9.9667,76.2833,India,IN,Kerala,,677381,677381
Angamāli,10.196,76.386,India,IN,Kerala,,33424,33424
Kodaikānal,10.23,77.48,India,IN,Tamil Nādu,,36501,36501
Vālpārai,10.3204,76.97,India,IN,Tamil Nādu,,114308,114308
Dindigul,10.35,77.95,India,IN,Tamil Nādu,,207327,207327
Trichūr,10.52,76.21,India,IN,Kerala,,315596,315596
Kavaratti,10.5626,72.6369,India,IN,Lakshadweep,admin,10688,10688
Negapatam,10.7667,79.8333,India,IN,Tamil Nādu,,102905,102905
Pālghāt,10.7792,76.6547,India,IN,Kerala,,130955,130955
Tanjore,10.8,79.15,India,IN,Tamil Nādu,,222943,222943
Trichinopoly,10.8269,78.6928,India,IN,Tamil Nādu,,916857,916857
Karūr,10.9504,78.0833,India,IN,Tamil Nādu,,76915,76915
Coimbatore,11,76.9667,India,IN,Tamil Nādu,,959823,959823
Tiruppūr,11.1075,77.3398,India,IN,Tamil Nādu,,650000,650000
Calicut,11.25,75.7667,India,IN,Kerala,minor,431560,431560
Kilkunda,11.2569,76.6697,India,IN,Tamil Nādu,,10150,10150
Erode,11.3408,77.7172,India,IN,Tamil Nādu,,151184,151184
Ootacamund,11.4086,76.6939,India,IN,Tamil Nādu,,88430,88430
Salem,11.65,78.1667,India,IN,Tamil Nādu,,693236,693236
Port Blair,11.6667,92.75,India,IN,Andaman and Nicobar Islands,admin,127562,127562
Cuddalore,11.75,79.75,India,IN,Tamil Nādu,,173676,173676
Puducherry,11.93,79.83,India,IN,Puducherry,admin,227411,227411
Tiruvannāmalai,12.2604,79.1,India,IN,Tamil Nādu,,138243,138243
Mysore,12.3086,76.6531,India,IN,Karnātaka,,1014227,1014227
Shrīrangapattana,12.4181,76.6947,India,IN,Karnātaka,,34135,34135
Mandya,12.5242,76.8958,India,IN,Karnātaka,,137358,137358
Seven Pagodas,12.6227,80.1939,India,IN,Tamil Nādu,,15172,15172
Conjeeveram,12.8308,79.7078,India,IN,Tamil Nādu,,164384,164384
Mangalore,12.8703,74.8806,India,IN,Karnātaka,,623841,623841
Channarāyapatna,12.9,76.39,India,IN,Karnātaka,,40400,40400
Vellore,12.9204,79.15,India,IN,Tamil Nādu,,177081,177081
Bangalore,12.9699,77.598,India,IN,Karnātaka,admin,13707000,13707000
Hassan,13.005,76.1028,India,IN,Karnātaka,,133436,133436
Chennai,13.0825,80.275,India,IN,Tamil Nādu,admin,11324000,11324000
Kolār,13.1333,78.1333,India,IN,Karnātaka,,144625,144625
Belūr,13.1642,75.8647,India,IN,Karnātaka,,20225,20225
Palmaner,13.2,78.75,India,IN,Andhra Pradesh,,54035,54035
Chittoor,13.2,79.1167,India,IN,Andhra Pradesh,,160722,160722
Tumkūr,13.33,77.1,India,IN,Karnātaka,,399606,399606
Nagari,13.33,79.58,India,IN,Andhra Pradesh,,62253,62253
Udipi,13.3322,74.7461,India,IN,Karnātaka,,165401,165401
Punganūru,13.3667,78.5833,India,IN,Andhra Pradesh,,54746,54746
Puttūr,13.45,79.55,India,IN,Andhra Pradesh,,54092,54092
Madanapalle,13.55,78.5,India,IN,Andhra Pradesh,,180180,180180
Tirupati,13.65,79.42,India,IN,Andhra Pradesh,,287482,287482
Hindupur,13.83,77.49,India,IN,Andhra Pradesh,,151677,151677
Parigi,13.8929,77.4598,India,IN,Andhra Pradesh,,12614,12614
Shimoga,13.9304,75.56,India,IN,Karnātaka,,654055,654055
Venkatagiri,13.9667,79.5833,India,IN,Andhra Pradesh,,52688,52688
Rāyachoti,14.05,78.75,India,IN,Andhra Pradesh,,91234,91234
Kadiri,14.12,78.17,India,IN,Andhra Pradesh,,89429,89429
Dharmavaram,14.4142,77.715,India,IN,Andhra Pradesh,,121874,121874
Pulivendla,14.4167,78.2333,India,IN,Andhra Pradesh,,65706,65706
Nellore,14.4333,79.9667,India,IN,Andhra Pradesh,,547621,547621
Davangere,14.4667,75.9167,India,IN,Karnātaka,,503564,503564
Cuddapah,14.4667,78.8167,India,IN,Andhra Pradesh,,344893,344893
Anantapur,14.6833,77.6,India,IN,Andhra Pradesh,,267161,267161
Proddatūr,14.73,78.55,India,IN,Andhra Pradesh,,163970,163970
Badvel,14.75,79.05,India,IN,Andhra Pradesh,,70626,70626
Jammalamadugu,14.85,78.38,India,IN,Andhra Pradesh,,46069,46069
Kāvali,14.9123,79.9944,India,IN,Andhra Pradesh,,90099,90099
Tādpatri,14.92,78.02,India,IN,Andhra Pradesh,,108171,108171
Pāmidi,14.95,77.5833,India,IN,Andhra Pradesh,,26886,26886
Bellary,15.15,76.915,India,IN,Karnātaka,,445388,445388
Guntakal,15.17,77.38,India,IN,Andhra Pradesh,,126270,126270
Kandukūr,15.2165,79.9042,India,IN,Andhra Pradesh,,57246,57246
Koilkuntla,15.2333,78.3167,India,IN,Andhra Pradesh,,23859,23859
Curchorem,15.25,74.1,India,IN,Goa,,22730,22730
Hospet,15.2667,76.4,India,IN,Karnātaka,,286007,286007
Loutolim,15.33,73.98,India,IN,Goa,,6121,6121
Hubli,15.36,75.125,India,IN,Karnātaka,,890000,890000
Giddalūr,15.3784,78.9265,India,IN,Andhra Pradesh,,35150,35150
Panaji,15.48,73.83,India,IN,Goa,admin,40017,40017
Nandyāl,15.48,78.48,India,IN,Andhra Pradesh,,200516,200516
Ongole,15.5,80.05,India,IN,Andhra Pradesh,,252739,252739
Chimākurti,15.5819,79.868,India,IN,Andhra Pradesh,,30279,30279
Ādoni,15.63,77.28,India,IN,Andhra Pradesh,,184625,184625
Emmiganūr,15.7333,77.4833,India,IN,Andhra Pradesh,,95149,95149
Mārkāpur,15.735,79.27,India,IN,Andhra Pradesh,,71092,71092
Addanki,15.811,79.9738,India,IN,Andhra Pradesh,,43850,43850
Chīrāla,15.82,80.35,India,IN,Andhra Pradesh,,172826,172826
Kurnool,15.8222,78.035,India,IN,Andhra Pradesh,,457633,457633
Belgaum,15.8667,74.5,India,IN,Karnātaka,,488157,488157
Bāpatla,15.8889,80.47,India,IN,Andhra Pradesh,,70777,70777
Repalle,16.02,80.85,India,IN,Andhra Pradesh,,50866,50866
Vinukonda,16.05,79.75,India,IN,Andhra Pradesh,,59725,59725
Ponnūru,16.0667,80.5667,India,IN,Andhra Pradesh,,59913,59913
Pedda Nandipādu,16.0728,80.3294,India,IN,Andhra Pradesh,,6090,6090
Chilakalūrupet,16.0892,80.1672,India,IN,Andhra Pradesh,,101398,101398
Machilīpatnam,16.1667,81.1333,India,IN,Andhra Pradesh,,169892,169892
Rāichūr,16.2104,77.355,India,IN,Karnātaka,,255240,255240
Gadwāl,16.23,77.8,India,IN,Telangana,,63177,63177
Narasaraopet,16.236,80.054,India,IN,Andhra Pradesh,,116250,116250
Tenāli,16.243,80.64,India,IN,Andhra Pradesh,,164937,164937
Pedana,16.2667,81.1667,India,IN,Andhra Pradesh,,30721,30721
Guntūr,16.3,80.45,India,IN,Andhra Pradesh,,647508,647508
Wanparti,16.361,78.0627,India,IN,Telangana,,60949,60949
Sattenapalle,16.3962,80.1497,India,IN,Andhra Pradesh,,56721,56721
Mangalagiri,16.43,80.55,India,IN,Andhra Pradesh,,73613,73613
Gudivāda,16.43,80.99,India,IN,Andhra Pradesh,,118167,118167
Narasapur,16.4333,81.6833,India,IN,Andhra Pradesh,,58770,58770
Tādepalle,16.4667,80.6,India,IN,Andhra Pradesh,,64149,64149
Mācherla,16.48,79.43,India,IN,Andhra Pradesh,,57290,57290
Bezwāda,16.5167,80.6167,India,IN,Andhra Pradesh,,1048240,1048240
Bhīmavaram,16.5333,81.5333,India,IN,Andhra Pradesh,,142184,142184
Pālakollu,16.5333,81.7333,India,IN,Andhra Pradesh,,129717,129717
Amalāpuram,16.5833,82.0167,India,IN,Andhra Pradesh,,53231,53231
Kolhāpur,16.7,74.2333,India,IN,Mahārāshtra,,750000,750000
Ichalkaranji,16.7,74.47,India,IN,Mahārāshtra,,287570,287570
Devarkonda,16.7,78.9333,India,IN,Telangana,,29731,29731
Ellore,16.7,81.1,India,IN,Andhra Pradesh,,203780,203780
Mahbūbnagar,16.7333,77.9833,India,IN,Telangana,,190400,190400
Tanuku,16.75,81.7,India,IN,Andhra Pradesh,,77962,77962
Drākshārāma,16.7928,82.0635,India,IN,Andhra Pradesh,,9299,9299
Bijāpur,16.8244,75.7154,India,IN,Karnātaka,,327427,327427
Tādepallegūdem,16.8333,81.5,India,IN,Andhra Pradesh,,104032,104032
Sāngli,16.8667,74.5667,India,IN,Mahārāshtra,,436639,436639
Mandapeta,16.87,81.93,India,IN,Andhra Pradesh,,56063,56063
Jaggayyapeta,16.892,80.0976,India,IN,Telangana,,53530,53530
Nidadavole,16.92,81.67,India,IN,Andhra Pradesh,,43809,43809
Kākināda,16.9333,82.2167,India,IN,Andhra Pradesh,,384182,384182
Rājahmundry,16.9833,81.7833,India,IN,Andhra Pradesh,,341831,341831
Kovvūr,17.0167,81.7333,India,IN,Andhra Pradesh,,39667,39667
Nalgonda,17.05,79.27,India,IN,Telangana,,154326,154326
Sāmalkot,17.0531,82.1695,India,IN,Andhra Pradesh,,56864,56864
Niāla Kondapalle,17.1,80.0506,India,IN,Telangana,,7767,7767
Pithāpuram,17.1167,82.2667,India,IN,Andhra Pradesh,,54859,54859
Suriāpet,17.15,79.6167,India,IN,Telangana,,106805,106805
Khammam,17.25,80.15,India,IN,Telangana,,196283,196283
Vikārābād,17.33,77.9,India,IN,Telangana,,53143,53143
Gulbarga,17.3333,76.8333,India,IN,Karnātaka,,483615,483615
Tuni,17.35,82.55,India,IN,Andhra Pradesh,,53425,53425
Hyderābād,17.3667,78.4667,India,IN,Telangana,admin,9746000,9746000
Bodupāl,17.4139,78.5783,India,IN,Telangana,,43692,43692
Secunderābād,17.45,78.5,India,IN,Telangana,,213698,213698
Kottagūdem,17.55,80.63,India,IN,Telangana,,79819,79819
Pāloncha,17.5815,80.6765,India,IN,Telangana,,80199,80199
Yellandu,17.6,80.33,India,IN,Telangana,,35056,35056
Anakāpalle,17.68,83.02,India,IN,Andhra Pradesh,,86519,86519
Solāpur,17.6833,75.9167,India,IN,Mahārāshtra,,951558,951558
Khed,17.72,73.38,India,IN,Mahārāshtra,,16892,16892
Jangaon,17.72,79.18,India,IN,Telangana,,52394,52394
Vishākhapatnam,17.7333,83.3167,India,IN,Andhra Pradesh,,2035922,2035922
Bhīmunipatnam,17.8864,83.4471,India,IN,Andhra Pradesh,,55082,55082
Pānchgani,17.92,73.82,India,IN,Mahārāshtra,,13280,13280
Bīdar,17.9229,77.5175,India,IN,Karnātaka,,300136,300136
Mangūr,17.9373,80.8185,India,IN,Telangana,,32091,32091
Warangal,17.9756,79.6011,India,IN,Telangana,,704570,704570
Vizianagaram,18.1167,83.4167,India,IN,Andhra Pradesh,,228720,228720
Osmānābād,18.1667,76.05,India,IN,Mahārāshtra,,112085,112085
Dubak,18.1914,78.6783,India,IN,Telangana,,12349,12349
Chīpurupalle,18.3,83.5667,India,IN,Andhra Pradesh,,14847,14847
Chicacole,18.3,83.9,India,IN,Andhra Pradesh,,137944,137944
Kāmāreddipet,18.3167,78.35,India,IN,Telangana,,80315,80315
Pondūru,18.3508,83.7567,India,IN,Andhra Pradesh,,12640,12640
Sirsilla,18.38,78.83,India,IN,Telangana,,83186,83186
Lātūr,18.4004,76.57,India,IN,Mahārāshtra,,374394,374394
Narasannapeta,18.4151,84.0447,India,IN,Andhra Pradesh,,26280,26280
Amudālavalasa,18.4167,83.9,India,IN,Andhra Pradesh,,39799,39799
Karīmnagar,18.4333,79.15,India,IN,Telangana,,289821,289821
Pune,18.5196,73.8553,India,IN,Mahārāshtra,,7764000,7764000
Bobbili,18.5667,83.4167,India,IN,Andhra Pradesh,,56819,56819
Chinchvad,18.6278,73.8131,India,IN,Mahārāshtra,,1729320,1729320
Bodhan,18.67,77.9,India,IN,Telangana,,77573,77573
Nizāmābād,18.6704,78.1,India,IN,Telangana,,388505,388505
Armūr,18.79,78.29,India,IN,Telangana,,64023,64023
Jagtiāl,18.8,78.93,India,IN,Telangana,,53213,53213
Rāmgundam,18.8,79.45,India,IN,Telangana,,242979,242979
Koratla,18.82,78.72,India,IN,Telangana,,66504,66504
Metpalli,18.8297,78.5878,India,IN,Telangana,,50902,50902
Mancherāl,18.8679,79.4639,India,IN,Telangana,,89935,89935
Uran,18.89,72.95,India,IN,Mahārāshtra,,30439,30439
Mumbai,18.9667,72.8333,India,IN,Mahārāshtra,admin,23355000,23355000
Mandamāri,18.9822,79.4811,India,IN,Telangana,,52352,52352
Belampalli,19.0558,79.4931,India,IN,Telangana,,55841,55841
Ahmadnagar,19.0833,74.7333,India,IN,Mahārāshtra,,350859,350859
Bhainsa,19.1,77.9667,India,IN,Telangana,,49764,49764
Nānded,19.15,77.3333,India,IN,Mahārāshtra,,623708,623708
Thāne,19.18,72.9633,India,IN,Mahārāshtra,,1261517,1261517
Junnar,19.2,73.88,India,IN,Mahārāshtra,,40000,40000
Ulhāsnagar,19.2167,73.15,India,IN,Mahārāshtra,,506098,506098
